Reference Angle [degree],Measured Angle [degree]
258.047,260.703125
260.156,262.10938
262.266,263.51563
263.672,265.625
265.781,267.73438
267.891,269.84375
268.594,271.25
271.406,272.6563
272.813,274.7656
274.922,276.1719
276.328,278.2813
278.438,279.6875
280.547,281.0938
281.953,283.2031
284.063,284.6094
285.469,286.0156
287.578,288.125
288.984,290.2344
291.094,291.6406
293.203,293.0469
294.609,294.4531
296.719,295.8594
298.125,297.9688
300.234,299.375
302.344,300.7813
303.75,302.8906
305.859,305
307.266,306.4063
309.375,307.8125
310.781,309.2188
312.891,310.625
314.297,312.7344
316.406,314.8438
317.813,316.25
319.922,318.3594
321.328,319.0625
322.031,321.875
324.844,323.2813
326.953,325.3906
328.359,327.5
330.469,329.6094
331.875,331.7188
333.984,333.8281
335.391,335.9375
336.797,338.0469
338.906,340.1563
341.016,341.5625
342.422,344.375
344.531,346.4844
345.938,349.2969
348.047,351.4063
349.453,352.8125
351.563,356.3281
352.969,357.7344
355.078,359.8438
0.703125,8.281
2.10938,8.984
4.21875,11.094
5.625,11.797
355.781,2.656
358.594,4.766
7.03125,13.906
8.4375,16.719
11.25,19.531
11.9531,20.234
14.7656,21.641
16.875,24.453
18.2813,25.859
20.3906,27.969
22.5,29.375
23.9063,30.781
25.3125,32.891
27.4219,34.297
29.5313,35.703
31.6406,37.109
33.0469,39.219
35.1563,40.625
36.5625,42.734
37.9688,44.141
40.0781,45.547
42.1875,46.953
43.5938,49.063
45.7031,50.469
47.1094,51.875
49.2188,53.984
51.3281,55.391
52.7344,56.797
53.4375,58.906
56.25,60.313
58.3594,61.719
59.7656,63.125
61.875,65.938
63.2813,66.641
65.3906,68.75
66.7969,70.156
68.9063,72.266
71.0156,74.375
72.4219,75.781
73.8281,77.891
75.9375,79.297
78.0469,81.406
79.4531,82.813
81.5625,84.922
82.9688,86.328
85.0781,88.438
87.1875,89.844
88.5938,91.953
90,93.359
92.1094,94.766
94.2188,96.875
94.9219,98.984
97.7344,101.094
99.8438,101.797
101.25,103.906
102.656,105.313
104.766,106.719
106.875,108.828
108.984,110.234
110.391,110.938
112.5,112.344
113.906,114.453
115.313,116.563
118.125,117.969
119.531,119.375
121.641,120.781
123.047,122.188
125.156,123.594
126.563,125.703
128.672,127.109
130.078,128.516
132.188,129.922
133.594,131.328
135.703,133.438
137.109,135.547
139.219,137.656
140.625,139.063
142.734,140.469
144.141,142.578
146.25,144.688
147.656,146.797
149.766,148.203
151.172,149.609
153.281,151.719
155.391,153.828
156.797,156.641
158.906,158.75
160.313,160.859
162.422,162.969
163.828,165.078
165.938,167.188
167.344,169.297
169.453,172.109
170.859,174.219
172.969,176.328
173.672,178.438
175.781,180.547
177.891,182.656
180,184.766
182.109,186.875
183.516,188.984
185.625,190.391
187.734,193.203
189.141,194.609
191.25,196.719
192.656,198.125
194.766,200.234
196.172,203.047
198.281,204.453
200.391,206.563
201.797,207.969
203.906,209.375
205.313,211.484
207.422,212.891
208.828,214.297
210.938,215.703
212.344,217.813
213.75,219.219
215.859,221.328
217.969,222.734
220.078,224.844
222.188,226.25
223.594,227.656
225.703,229.063
227.813,231.172
229.219,232.578
229.922,234.688
232.734,236.094
234.844,237.5
236.25,239.609
238.359,241.016
240.469,243.125
241.875,244.531
243.984,245.938
244.688,247.344
247.5,249.453
249.609,251.563
251.016,252.969
253.125,255.078
253.828,256.484
256.641,258.594
